time,mean_beta,mean_beta_equilibrium,mean_stimulus,mean_strain_energy,mean_sigma_xx,orientation_coherence,mean_orientation_angle_deg,mean_target_alignment
9.000000000000000000e+00,6.133382413810753997e-01,8.190631399125902767e-01,4.062756607635740758e-01,1.131043341038404426e+00,1.011412018395691170e+01,8.552347040842211978e-01,1.196730210086400703e+01,9.466822835987416251e-01
9.099999999999999645e+00,6.164010860955663196e-01,8.190631399125902767e-01,4.062756607635740758e-01,1.135173942760658639e+00,1.020280797007914586e+01,8.535877757627754470e-01,1.173488755232435388e+01,9.487018186884126347e-01
9.200000000000001066e+00,6.194183309929616188e-01,8.190631399125902767e-01,4.062756607635740758e-01,1.139259134282700980e+00,1.029063900717770963e+01,8.519588554215599130e-01,1.150701999982366885e+01,9.506470064718866020e-01
9.300000000000000711e+00,6.223906549660920273e-01,8.190631399125902767e-01,4.062756607635740758e-01,1.143296998672525433e+00,1.037756039215462955e+01,8.503482477644765947e-01,1.128360899248616001e+01,9.525204087134172548e-01
9.400000000000000355e+00,6.253187268003912447e-01,8.190631399125902767e-01,4.062756607635740758e-01,1.147285760099109542e+00,1.046352238320312900e+01,8.487562217564811329e-01,1.106456593825095247e+01,9.543245131289677108e-01
9.500000000000000000e+00,6.282032053243749026e-01,8.190631399125902767e-01,4.062756607635740758e-01,1.151223783882254326e+00,1.054847847170101183e+01,8.471830126556217921e-01,1.084980406391317054e+01,9.560617343244165456e-01
9.600000000000001421e+00,6.310447395578796526e-01,8.190631399125902767e-01,4.062756607635740758e-01,1.155109575854758486e+00,1.063238543195662977e+01,8.456288239475763246e-01,1.063923837603489631e+01,9.577344148403276192e-01
9.700000000000001066e+00,6.338439688580961295e-01,8.190631399125902767e-01,4.062756607635740758e-01,1.158941781080609523e+00,1.071520334975619804e+01,8.440938291868517185e-01,1.043278562271057730e+01,9.593448262890492684e-01
9.800000000000000711e+00,6.366015230634262112e-01,8.190631399125902767e-01,4.062756607635740758e-01,1.162719181976135774e+00,1.079689563081936221e+01,8.425781737486788270e-01,1.023036425617101131e+01,9.608951705711198388e-01
9.900000000000000355e+00,6.393180226351994344e-01,8.190631399125902767e-01,4.062756607635740758e-01,1.166440695883478540e+00,1.087742899039911215e+01,8.410819764954865496e-01,1.003189439621046120e+01,9.623875811590927309e-01
1.000000000000000000e+01,6.419940787972797658e-01,8.190631399125902767e-01,4.062756607635740758e-01,1.170105372147277611e+00,1.095677342536290055e+01,8.396053313617037883e-01,9.837297794420974739e+00,9.638241244379393002e-01
1.010000000000000142e+01,6.446302936735934797e-01,8.190631399125902767e-01,4.062756607635740758e-01,1.173712388746274149e+00,1.103490217016543617e+01,8.381483088604918530e-01,9.646497799218403557e+00,9.652068010921678320e-01
